From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology (cellular component)
Q867C9	Q867C9	reviewed	PFKAM_HORSE	ATP-dependent 6-phosphofructokinase, muscle type (ATP-PFK) (PFK-M) (EC 2.7.1.11) (6-phosphofructokinase type A) (Phosphofructo-1-kinase isozyme A) (PFK-A) (Phosphohexokinase)	PFKM	Equus caballus (Horse)	780	GO:0003872; GO:0005524; GO:0005945; GO:0006002; GO:0016020; GO:0016208; GO:0030388; GO:0042802; GO:0046872; GO:0048029; GO:0061621; GO:0070095	canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]	6-phosphofructokinase complex [GO:0005945]; membrane [GO:0016020]; 6-phosphofructokinase activity [GO:0003872]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; fructose-6-phosphate binding [GO:0070095]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; monosaccharide binding [GO:0048029]; canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]	6-phosphofructokinase activity [GO:0003872]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; fructose-6-phosphate binding [GO:0070095]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; monosaccharide binding [GO:0048029]	6-phosphofructokinase complex [GO:0005945]; membrane [GO:0016020]
Q61493	Q61493	reviewed	REV3L_MOUSE	DNA polymerase zeta catalytic subunit (EC 2.7.7.7) (Protein reversionless 3-like) (REV3-like) (Seizure-related protein 4)	Rev3l Polz Sez4	Mus musculus (Mouse)	3122	GO:0000166; GO:0000724; GO:0003677; GO:0003887; GO:0005634; GO:0005730; GO:0006260; GO:0006281; GO:0016035; GO:0042276; GO:0046872; GO:0051539	DNA repair [GO:0006281]; DNA replication [GO:0006260]; double-strand break repair via homologous recombination [GO:0000724]; error-prone translesion synthesis [GO:0042276]	nucleolus [GO:0005730]; nucleus [GO:0005634]; zeta DNA polymerase complex [GO:0016035]; 4 iron, 4 sulfur cluster binding [GO:0051539]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; double-strand break repair via homologous recombination [GO:0000724]; error-prone translesion synthesis [GO:0042276]	4 iron, 4 sulfur cluster binding [GO:0051539]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	nucleolus [GO:0005730]; nucleus [GO:0005634]; zeta DNA polymerase complex [GO:0016035]
Q964E1	Q964E1	reviewed	ACTC_BIOOB	Actin, cytoplasmic (EC 3.6.4.-) [Cleaved into: Actin, cytoplasmic, intermediate form]		Biomphalaria obstructa (Bloodfluke planorb) (Freshwater snail)	376	GO:0005524; GO:0005737; GO:0005856; GO:0016787		cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]
Q15643	Q15643	reviewed	TRIPB_HUMAN	Thyroid receptor-interacting protein 11 (TR-interacting protein 11) (TRIP-11) (Clonal evolution-related gene on chromosome 14 protein) (Golgi-associated microtubule-binding protein 210) (GMAP-210) (Trip230)	TRIP11 CEV14	Homo sapiens (Human)	1979	GO:0000139; GO:0002079; GO:0002081; GO:0003281; GO:0003413; GO:0003713; GO:0005793; GO:0005794; GO:0005801; GO:0005856; GO:0006366; GO:0006486; GO:0006888; GO:0007030; GO:0030133; GO:0031267; GO:0033116; GO:0051216; GO:0060122; GO:0090161; GO:0099041	cartilage development [GO:0051216]; chondrocyte differentiation involved in endochondral bone morphogenesis [GO:0003413]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi organization [GO:0007030]; Golgi ribbon formation [GO:0090161]; inner ear receptor cell stereocilium organization [GO:0060122]; protein glycosylation [GO:0006486]; transcription by RNA polymerase II [GO:0006366]; ventricular septum development [GO:0003281]; vesicle tethering to Golgi [GO:0099041]	cis-Golgi network [GO:0005801]; cytoskeleton [GO:0005856]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; inner acrosomal membrane [GO:0002079]; outer acrosomal membrane [GO:0002081]; transport vesicle [GO:0030133]; small GTPase binding [GO:0031267]; transcription coactivator activity [GO:0003713]; cartilage development [GO:0051216]; chondrocyte differentiation involved in endochondral bone morphogenesis [GO:0003413]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi organization [GO:0007030]; Golgi ribbon formation [GO:0090161]; inner ear receptor cell stereocilium organization [GO:0060122]; protein glycosylation [GO:0006486]; transcription by RNA polymerase II [GO:0006366]; ventricular septum development [GO:0003281]; vesicle tethering to Golgi [GO:0099041]	small GTPase binding [GO:0031267]; transcription coactivator activity [GO:0003713]	cis-Golgi network [GO:0005801]; cytoskeleton [GO:0005856]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; inner acrosomal membrane [GO:0002079]; outer acrosomal membrane [GO:0002081]; transport vesicle [GO:0030133]
Q7T3T2	Q7T3T2	reviewed	CALM_EPIAK	Calmodulin (CaM)	calm cal1	Epinephelus akaara (Hong Kong grouper) (Serranus akaara)	149	GO:0005509		calcium ion binding [GO:0005509]	calcium ion binding [GO:0005509]	
Q3V6T2	Q3V6T2	reviewed	GRDN_HUMAN	Girdin (Akt phosphorylation enhancer) (APE) (Coiled-coil domain-containing protein 88A) (G alpha-interacting vesicle-associated protein) (GIV) (Girders of actin filament) (Hook-related protein 1) (HkRP1)	CCDC88A APE GRDN KIAA1212	Homo sapiens (Human)	1871	GO:0001965; GO:0003779; GO:0005080; GO:0005085; GO:0005092; GO:0005154; GO:0005158; GO:0005737; GO:0005783; GO:0005794; GO:0005813; GO:0005814; GO:0005829; GO:0005886; GO:0007264; GO:0007399; GO:0008017; GO:0010975; GO:0016020; GO:0016477; GO:0030027; GO:0030032; GO:0030142; GO:0030705; GO:0031122; GO:0031410; GO:0031682; GO:0031929; GO:0032147; GO:0032956; GO:0035091; GO:0036064; GO:0042127; GO:0042169; GO:0042803; GO:0043184; GO:0043422; GO:0043539; GO:0045724; GO:0045742; GO:0051496; GO:0051897; GO:0051959; GO:0061024; GO:0072660; GO:1903566	activation of protein kinase activity [GO:0032147]; cell migration [GO:0016477]; cytoplasmic microtubule organization [GO:0031122]; cytoskeleton-dependent intracellular transport [GO:0030705]; lamellipodium assembly [GO:0030032]; maintenance of protein location in plasma membrane [GO:0072660]; membrane organization [GO:0061024]; nervous system development [GO:0007399]; positive regulation of cilium assembly [GO:0045724]; positive regulation of epidermal growth factor receptor signaling pathway [GO:0045742]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of protein localization to cilium [GO:1903566]; positive regulation of stress fiber assembly [GO:0051496]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of cell population proliferation [GO:0042127]; regulation of neuron projection development [GO:0010975]; small GTPase mediated signal transduction [GO:0007264]; TOR signaling [GO:0031929]	centriole [GO:0005814]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; COPI-coated Golgi to ER transport vesicle [GO:0030142]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; lamellipodium [GO:0030027]; membrane [GO:0016020]; plasma membrane [GO:0005886]; actin binding [GO:0003779]; dynein light intermediate chain binding [GO:0051959]; epidermal growth factor receptor binding [GO:0005154]; G-protein alpha-subunit binding [GO:0001965]; G-protein gamma-subunit binding [GO:0031682]; GDP-dissociation inhibitor activity [GO:0005092]; guanyl-nucleotide exchange factor activity [GO:0005085]; insulin receptor binding [GO:0005158]; microtubule binding [GO:0008017]; phosphatidylinositol binding [GO:0035091]; protein homodimerization activity [GO:0042803]; protein kinase B binding [GO:0043422]; protein kinase C binding [GO:0005080]; protein serine/threonine kinase activator activity [GO:0043539]; SH2 domain binding [GO:0042169]; vascular endothelial growth factor receptor 2 binding [GO:0043184]; activation of protein kinase activity [GO:0032147]; cell migration [GO:0016477]; cytoplasmic microtubule organization [GO:0031122]; cytoskeleton-dependent intracellular transport [GO:0030705]; lamellipodium assembly [GO:0030032]; maintenance of protein location in plasma membrane [GO:0072660]; membrane organization [GO:0061024]; nervous system development [GO:0007399]; positive regulation of cilium assembly [GO:0045724]; positive regulation of epidermal growth factor receptor signaling pathway [GO:0045742]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of protein localization to cilium [GO:1903566]; positive regulation of stress fiber assembly [GO:0051496]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of cell population proliferation [GO:0042127]; regulation of neuron projection development [GO:0010975]; small GTPase mediated signal transduction [GO:0007264]; TOR signaling [GO:0031929]	actin binding [GO:0003779]; dynein light intermediate chain binding [GO:0051959]; epidermal growth factor receptor binding [GO:0005154]; G-protein alpha-subunit binding [GO:0001965]; G-protein gamma-subunit binding [GO:0031682]; GDP-dissociation inhibitor activity [GO:0005092]; guanyl-nucleotide exchange factor activity [GO:0005085]; insulin receptor binding [GO:0005158]; microtubule binding [GO:0008017]; phosphatidylinositol binding [GO:0035091]; protein homodimerization activity [GO:0042803]; protein kinase B binding [GO:0043422]; protein kinase C binding [GO:0005080]; protein serine/threonine kinase activator activity [GO:0043539]; SH2 domain binding [GO:0042169]; vascular endothelial growth factor receptor 2 binding [GO:0043184]	centriole [GO:0005814]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; COPI-coated Golgi to ER transport vesicle [GO:0030142]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; lamellipodium [GO:0030027]; membrane [GO:0016020]; plasma membrane [GO:0005886]
P21359	P21359	reviewed	NF1_HUMAN	Neurofibromin (Neurofibromatosis-related protein NF-1) [Cleaved into: Neurofibromin truncated]	NF1	Homo sapiens (Human)	2839	GO:0000165; GO:0001525; GO:0001649; GO:0001656; GO:0001666; GO:0001889; GO:0001935; GO:0001937; GO:0001938; GO:0001952; GO:0001953; GO:0002686; GO:0005096; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005829; GO:0005886; GO:0006469; GO:0006606; GO:0007154; GO:0007265; GO:0007405; GO:0007406; GO:0007420; GO:0007422; GO:0007507; GO:0007519; GO:0008429; GO:0008542; GO:0008625; GO:0010468; GO:0010626; GO:0014010; GO:0014044; GO:0016020; GO:0016525; GO:0016601; GO:0021510; GO:0021764; GO:0021897; GO:0021915; GO:0021987; GO:0022011; GO:0030036; GO:0030198; GO:0030199; GO:0030316; GO:0030325; GO:0030336; GO:0030424; GO:0030425; GO:0031210; GO:0032228; GO:0033024; GO:0033027; GO:0034605; GO:0035021; GO:0036135; GO:0042060; GO:0042308; GO:0043065; GO:0043087; GO:0043407; GO:0043409; GO:0043473; GO:0043491; GO:0043525; GO:0043535; GO:0043547; GO:0045124; GO:0045671; GO:0045685; GO:0045762; GO:0045765; GO:0046929; GO:0048144; GO:0048147; GO:0048169; GO:0048485; GO:0048593; GO:0048709; GO:0048712; GO:0048715; GO:0048745; GO:0048820; GO:0048844; GO:0048853; GO:0050890; GO:0051402; GO:0060291; GO:0061534; GO:0061535; GO:0070372; GO:0070662; GO:0070667; GO:0072089; GO:0097192; GO:0097529; GO:0098597; GO:0098793; GO:0098978; GO:0099175; GO:1900148; GO:1900271; GO:1904707; GO:1904738; GO:1904753; GO:1990874; GO:2000647; GO:2001241	actin cytoskeleton organization [GO:0030036]; adrenal gland development [GO:0030325]; amygdala development [GO:0021764]; angiogenesis [GO:0001525]; artery morphogenesis [GO:0048844]; brain development [GO:0007420]; camera-type eye morphogenesis [GO:0048593]; cell communication [GO:0007154]; cellular response to heat [GO:0034605]; cerebral cortex development [GO:0021987]; cognition [GO:0050890]; collagen fibril organization [GO:0030199]; endothelial cell proliferation [GO:0001935]; extracellular matrix organization [GO:0030198]; extrinsic apoptotic signaling pathway in absence of ligand [GO:0097192]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; fibroblast proliferation [GO:0048144]; forebrain astrocyte development [GO:0021897]; forebrain morphogenesis [GO:0048853]; gamma-aminobutyric acid secretion, neurotransmission [GO:0061534]; glutamate secretion, neurotransmission [GO:0061535]; hair follicle maturation [GO:0048820]; heart development [GO:0007507]; liver development [GO:0001889]; long-term synaptic potentiation [GO:0060291]; MAPK cascade [GO:0000165]; mast cell apoptotic process [GO:0033024]; mast cell proliferation [GO:0070662]; metanephros development [GO:0001656]; myelination in peripheral nervous system [GO:0022011]; myeloid leukocyte migration [GO:0097529]; negative regulation of angiogenesis [GO:0016525]; negative regulation of astrocyte differentiation [GO:0048712]; negative regulation of cell migration [GO:0030336]; negative regulation of cell-matrix adhesion [GO:0001953]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of leukocyte migration [GO:0002686]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of MAPK cascade [GO:0043409]; negative regulation of mast cell proliferation [GO:0070667]; negative regulation of neuroblast proliferation [GO:0007406]; negative regulation of neurotransmitter secretion [GO:0046929]; negative regulation of oligodendrocyte differentiation [GO:0048715]; negative regulation of osteoclast differentiation [GO:0045671]; negative regulation of protein import into nucleus [GO:0042308]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of Rac protein signal transduction [GO:0035021]; negative regulation of Schwann cell migration [GO:1900148]; negative regulation of Schwann cell proliferation [GO:0010626]; negative regulation of stem cell proliferation [GO:2000647]; negative regulation of vascular associated smooth muscle cell migration [GO:1904753]; neural tube development [GO:0021915]; neuroblast proliferation [GO:0007405]; neuron apoptotic process [GO:0051402]; observational learning [GO:0098597]; oligodendrocyte differentiation [GO:0048709]; osteoblast differentiation [GO:0001649]; osteoclast differentiation [GO:0030316]; peripheral nervous system development [GO:0007422]; phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0043491]; pigmentation [GO:0043473]; positive regulation of adenylate cyclase activity [GO:0045762]; positive regulation of apoptotic process [GO:0043065]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001241]; positive regulation of GTPase activity [GO:0043547]; positive regulation of mast cell apoptotic process [GO:0033027]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of vascular associated smooth muscle cell proliferation [GO:1904707]; protein import into nucleus [GO:0006606]; Rac protein signal transduction [GO:0016601]; Ras protein signal transduction [GO:0007265]; regulation of angiogenesis [GO:0045765]; regulation of blood vessel endothelial cell migration [GO:0043535]; regulation of bone resorption [GO:0045124]; regulation of cell-matrix adhesion [GO:0001952]; regulation of ERK1 and ERK2 cascade [GO:0070372]; regulation of gene expression [GO:0010468]; regulation of glial cell differentiation [GO:0045685]; regulation of GTPase activity [GO:0043087]; regulation of long-term neuronal synaptic plasticity [GO:0048169]; regulation of long-term synaptic potentiation [GO:1900271]; regulation of postsynapse organization [GO:0099175]; regulation of synaptic transmission, GABAergic [GO:0032228]; response to hypoxia [GO:0001666]; Schwann cell development [GO:0014044]; Schwann cell migration [GO:0036135]; Schwann cell proliferation [GO:0014010]; skeletal muscle tissue development [GO:0007519]; smooth muscle tissue development [GO:0048745]; spinal cord development [GO:0021510]; stem cell proliferation [GO:0072089]; sympathetic nervous system development [GO:0048485]; vascular associated smooth muscle cell migration [GO:1904738]; vascular associated smooth muscle cell proliferation [GO:1990874]; visual learning [GO:0008542]; wound healing [GO:0042060]	axon [GO:0030424]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; glutamatergic synapse [GO:0098978]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; GTPase activator activity [GO:0005096]; phosphatidylcholine binding [GO:0031210]; phosphatidylethanolamine binding [GO:0008429]; actin cytoskeleton organization [GO:0030036]; adrenal gland development [GO:0030325]; amygdala development [GO:0021764]; angiogenesis [GO:0001525]; artery morphogenesis [GO:0048844]; brain development [GO:0007420]; camera-type eye morphogenesis [GO:0048593]; cell communication [GO:0007154]; cellular response to heat [GO:0034605]; cerebral cortex development [GO:0021987]; cognition [GO:0050890]; collagen fibril organization [GO:0030199]; endothelial cell proliferation [GO:0001935]; extracellular matrix organization [GO:0030198]; extrinsic apoptotic signaling pathway in absence of ligand [GO:0097192]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; fibroblast proliferation [GO:0048144]; forebrain astrocyte development [GO:0021897]; forebrain morphogenesis [GO:0048853]; gamma-aminobutyric acid secretion, neurotransmission [GO:0061534]; glutamate secretion, neurotransmission [GO:0061535]; hair follicle maturation [GO:0048820]; heart development [GO:0007507]; liver development [GO:0001889]; long-term synaptic potentiation [GO:0060291]; MAPK cascade [GO:0000165]; mast cell apoptotic process [GO:0033024]; mast cell proliferation [GO:0070662]; metanephros development [GO:0001656]; myelination in peripheral nervous system [GO:0022011]; myeloid leukocyte migration [GO:0097529]; negative regulation of angiogenesis [GO:0016525]; negative regulation of astrocyte differentiation [GO:0048712]; negative regulation of cell migration [GO:0030336]; negative regulation of cell-matrix adhesion [GO:0001953]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of leukocyte migration [GO:0002686]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of MAPK cascade [GO:0043409]; negative regulation of mast cell proliferation [GO:0070667]; negative regulation of neuroblast proliferation [GO:0007406]; negative regulation of neurotransmitter secretion [GO:0046929]; negative regulation of oligodendrocyte differentiation [GO:0048715]; negative regulation of osteoclast differentiation [GO:0045671]; negative regulation of protein import into nucleus [GO:0042308]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of Rac protein signal transduction [GO:0035021]; negative regulation of Schwann cell migration [GO:1900148]; negative regulation of Schwann cell proliferation [GO:0010626]; negative regulation of stem cell proliferation [GO:2000647]; negative regulation of vascular associated smooth muscle cell migration [GO:1904753]; neural tube development [GO:0021915]; neuroblast proliferation [GO:0007405]; neuron apoptotic process [GO:0051402]; observational learning [GO:0098597]; oligodendrocyte differentiation [GO:0048709]; osteoblast differentiation [GO:0001649]; osteoclast differentiation [GO:0030316]; peripheral nervous system development [GO:0007422]; phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0043491]; pigmentation [GO:0043473]; positive regulation of adenylate cyclase activity [GO:0045762]; positive regulation of apoptotic process [GO:0043065]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001241]; positive regulation of GTPase activity [GO:0043547]; positive regulation of mast cell apoptotic process [GO:0033027]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of vascular associated smooth muscle cell proliferation [GO:1904707]; protein import into nucleus [GO:0006606]; Rac protein signal transduction [GO:0016601]; Ras protein signal transduction [GO:0007265]; regulation of angiogenesis [GO:0045765]; regulation of blood vessel endothelial cell migration [GO:0043535]; regulation of bone resorption [GO:0045124]; regulation of cell-matrix adhesion [GO:0001952]; regulation of ERK1 and ERK2 cascade [GO:0070372]; regulation of gene expression [GO:0010468]; regulation of glial cell differentiation [GO:0045685]; regulation of GTPase activity [GO:0043087]; regulation of long-term neuronal synaptic plasticity [GO:0048169]; regulation of long-term synaptic potentiation [GO:1900271]; regulation of postsynapse organization [GO:0099175]; regulation of synaptic transmission, GABAergic [GO:0032228]; response to hypoxia [GO:0001666]; Schwann cell development [GO:0014044]; Schwann cell migration [GO:0036135]; Schwann cell proliferation [GO:0014010]; skeletal muscle tissue development [GO:0007519]; smooth muscle tissue development [GO:0048745]; spinal cord development [GO:0021510]; stem cell proliferation [GO:0072089]; sympathetic nervous system development [GO:0048485]; vascular associated smooth muscle cell migration [GO:1904738]; vascular associated smooth muscle cell proliferation [GO:1990874]; visual learning [GO:0008542]; wound healing [GO:0042060]	GTPase activator activity [GO:0005096]; phosphatidylcholine binding [GO:0031210]; phosphatidylethanolamine binding [GO:0008429]	axon [GO:0030424]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; glutamatergic synapse [GO:0098978]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; presynapse [GO:0098793]
Q8N6F8	Q8N6F8	reviewed	MET27_HUMAN	Methyltransferase-like protein 27 (Williams-Beuren syndrome chromosomal region 27 protein)	METTL27 WBSCR27	Homo sapiens (Human)	245					
Q5VT06	Q5VT06	reviewed	CE350_HUMAN	Centrosome-associated protein 350 (Cep350) (Centrosome-associated protein of 350 kDa)	CEP350 CAP350 KIAA0480 GM133	Homo sapiens (Human)	3117	GO:0005634; GO:0005737; GO:0005813; GO:0005814; GO:0005819; GO:0008017; GO:0016020; GO:0034453; GO:0042995; GO:0071539; GO:1905515	microtubule anchoring [GO:0034453]; non-motile cilium assembly [GO:1905515]; protein localization to centrosome [GO:0071539]	cell projection [GO:0042995]; centriole [GO:0005814]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleus [GO:0005634]; spindle [GO:0005819]; microtubule binding [GO:0008017]; microtubule anchoring [GO:0034453]; non-motile cilium assembly [GO:1905515]; protein localization to centrosome [GO:0071539]	microtubule binding [GO:0008017]	cell projection [GO:0042995]; centriole [GO:0005814]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleus [GO:0005634]; spindle [GO:0005819]
P70579	P70579	reviewed	GRM8_RAT	Metabotropic glutamate receptor 8 (mGluR8)	Grm8 Gprc1h Mglur8	Rattus norvegicus (Rat)	908	GO:0001642; GO:0004930; GO:0005886; GO:0007193; GO:0007196; GO:0007216; GO:0007268; GO:0008066; GO:0019233; GO:0035249; GO:0042734; GO:0043025; GO:0045211; GO:0046928; GO:0048787; GO:0050966; GO:0051966; GO:0098978; GO:0098982; GO:0099171	adenylate cyclase-inhibiting G protein-coupled glutamate receptor signaling pathway [GO:0007196]; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; chemical synaptic transmission [GO:0007268]; detection of mechanical stimulus involved in sensory perception of pain [GO:0050966]; G protein-coupled glutamate receptor signaling pathway [GO:0007216]; presynaptic modulation of chemical synaptic transmission [GO:0099171]; regulation of neurotransmitter secretion [GO:0046928]; regulation of synaptic transmission, glutamatergic [GO:0051966]; sensory perception of pain [GO:0019233]; synaptic transmission, glutamatergic [GO:0035249]	GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; presynaptic active zone membrane [GO:0048787]; presynaptic membrane [GO:0042734]; G protein-coupled receptor activity [GO:0004930]; glutamate receptor activity [GO:0008066]; group III metabotropic glutamate receptor activity [GO:0001642]; adenylate cyclase-inhibiting G protein-coupled glutamate receptor signaling pathway [GO:0007196]; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; chemical synaptic transmission [GO:0007268]; detection of mechanical stimulus involved in sensory perception of pain [GO:0050966]; G protein-coupled glutamate receptor signaling pathway [GO:0007216]; presynaptic modulation of chemical synaptic transmission [GO:0099171]; regulation of neurotransmitter secretion [GO:0046928]; regulation of synaptic transmission, glutamatergic [GO:0051966]; sensory perception of pain [GO:0019233]; synaptic transmission, glutamatergic [GO:0035249]	G protein-coupled receptor activity [GO:0004930]; glutamate receptor activity [GO:0008066]; group III metabotropic glutamate receptor activity [GO:0001642]	GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; presynaptic active zone membrane [GO:0048787]; presynaptic membrane [GO:0042734]
Q0VD50	Q0VD50	reviewed	NMNA1_BOVIN	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1 (NMN/NaMN adenylyltransferase 1) (EC 2.7.7.1) (EC 2.7.7.18) (Nicotinamide mononucleotide adenylyltransferase 1) (NMN adenylyltransferase 1) (Nicotinate-nucleotide adenylyltransferase 1) (NaMN adenylyltransferase 1)	NMNAT1	Bos taurus (Bovine)	281	GO:0000309; GO:0000785; GO:0004515; GO:0005524; GO:0005634; GO:0009435; GO:0009611; GO:0016604; GO:0042802; GO:0045892; GO:0140768; GO:1990966	ATP generation from poly-ADP-D-ribose [GO:1990966]; NAD biosynthetic process [GO:0009435]; negative regulation of DNA-templated transcription [GO:0045892]; response to wounding [GO:0009611]	chromatin [GO:0000785]; nuclear body [GO:0016604]; nucleus [GO:0005634]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; nicotinamide-nucleotide adenylyltransferase activity [GO:0000309]; nicotinate-nucleotide adenylyltransferase activity [GO:0004515]; protein ADP-ribosyltransferase-substrate adaptor activity [GO:0140768]; ATP generation from poly-ADP-D-ribose [GO:1990966]; NAD biosynthetic process [GO:0009435]; negative regulation of DNA-templated transcription [GO:0045892]; response to wounding [GO:0009611]	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; nicotinamide-nucleotide adenylyltransferase activity [GO:0000309]; nicotinate-nucleotide adenylyltransferase activity [GO:0004515]; protein ADP-ribosyltransferase-substrate adaptor activity [GO:0140768]	chromatin [GO:0000785]; nuclear body [GO:0016604]; nucleus [GO:0005634]
Q80Y19	Q80Y19	reviewed	RHGBA_MOUSE	Rho GTPase-activating protein 11A (Rho-type GTPase-activating protein 11A)	Arhgap11a Kiaa0013	Mus musculus (Mouse)	987	GO:0005096; GO:0005634; GO:0005759; GO:0007165; GO:0043547	positive regulation of GTPase activity [GO:0043547]; signal transduction [GO:0007165]	mitochondrial matrix [GO:0005759]; nucleus [GO:0005634]; GTPase activator activity [GO:0005096]; positive regulation of GTPase activity [GO:0043547]; signal transduction [GO:0007165]	GTPase activator activity [GO:0005096]	mitochondrial matrix [GO:0005759]; nucleus [GO:0005634]
Q6P4F7	Q6P4F7	reviewed	RHGBA_HUMAN	Rho GTPase-activating protein 11A (Rho-type GTPase-activating protein 11A)	ARHGAP11A KIAA0013	Homo sapiens (Human)	1023	GO:0005096; GO:0005634; GO:0005829; GO:0007165; GO:0043547; GO:0051056	positive regulation of GTPase activity [GO:0043547]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]	cytosol [GO:0005829]; nucleus [GO:0005634]; GTPase activator activity [GO:0005096]; positive regulation of GTPase activity [GO:0043547]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]	GTPase activator activity [GO:0005096]	cytosol [GO:0005829]; nucleus [GO:0005634]
